State,Name,TypeID,ID,Type,Title,Established,Target,Date,Requirement,Applicable Sectors,Cost Cap,Details,"Enabling Statute, Code, or Order"
AL,Alabama,1,1,None,,,,,,,,,
AK,Alaska,1,2,None,,,,,,,,,
AZ,Arizona,4,4,Required,Renewable Energy Standard,2006,15%,2025,15% by 2025,"Investor-owned utility, retail supplier",None,Distributed Generation: 30% of annual requirement in 2012 and thereafter. The state has several credit multipliers for different technologies.,Ariz. Admin. Code §14-2-1801 et seq.
AR,Arkansas,1,5,None,,,,,,,,,
CA,California,4,6,Required,Renewables Portfolio Standard,2002,44%,2024,44% by 2024; 52%  by 2027; 60% by 2030. Also requires 100% clean energy by 2045,"Investor-owned utility, municipal utilities",Determined by the California Public Utilities Commission,A 2013 amendment allows the California Public Utilities Commission to adopt additional requirements.,Cal. Public Utilities Code §399.11 et seq.; Cal. Public Resources Code §25740 et seq.; Assembly Bill 327 (2013); Senate Bill 350 (2015); Senate Bill 100 (2018)
CO,Colorado,4,8,Required,Renewable Energy Standard,2004,30%,2020,"30% by 2020 (IOUs); 10% or 20% for municipalities and electric cooperatives depending on size; 100% clean energy by 2050 for utilities serving 500,000 or more customers","Investor owned utility, municipal utilities, cooperative utilities",Approximately 2%,"For distributed generation, 3% of IOU retail sales by 2020, 1% of cooperative retail sales by 2020 (for those providing service to 10,000 or more meters) or 0.75% of cooperative retail sales by 2020 (for those providing service to less than 10,000 meters). The state has several credit multipliers for different technologies. Additionally, in 2019, Colorado enacted legislation requiring utilities serving 500,000 or more customers to supply 100% of retail sales with clean energy sources by 2050 so long as meeting such requirements is technically and economically feasible and in the public interest.",Colo. Rev. Stat. §40-2-124; Senate Bill 252 (2013); Senate Bill 263 (2019)
CT,Connecticut,4,9,Required,Renewables Portfolio Standard,1998,44%,2030,44% by 2030,"Investor-owned utility, local government, retail supplier",Approximately 6%,"Class I renewable energy sources (including distributed generation): 20% by 2020. Class I or II (biomass, waste-to-energy and certain hydropower projects): 3% by 2010. Class III (combined heat and power, waste heat recovery and conservation): 4% by 2010.",Conn. Gen. Stat. §16-245a et seq.; Conn. Gen. Stat. §16-1; Senate Bill 9 (2018)
DE,Delaware,4,10,Required,Renewable Energy Portfolio Standard,2005,25%,2025,In 2021 the state extended its RPS to include long-term targets of 28% by 2030 and 40% by 2035. The changes retained the state's previous target for 2025 of 25%. ,"Investor-owned utility, local government, retail supplier",None. Previously had a cost cap of approximately 3% that was eliminated through legislation enacted in 2021.,"Photovoltaics: 3.5% in 2025, 5% in 2030 and 10% in 2035.",Del. Code Ann. 26 §351 et seq.; Senate Bill 33 (2021). 
DC,District of Columbia,4,11,Required,Renewable Portfolio Standard,2005,100%,2032,"20% by 2020, 100% by 2032","Investor-owned utility, retail supplier",Approximately 3%,Solar: 2.5% by 2023; 5% by 2032; 10% by 2041.,"D.C. Code §34-1431 et seq., Bill 650 (2016); Bill 904 (2018)"
FL,Florida,1,12,None,,,,,,,,,
GA,Georgia,1,13,None,,,,,,,,,
HI,Hawaii,4,15,Required,Renewable Portfolio Standard,2001,40%,2030,30% by 2020; 40% by 2030; 70% by 2040; 100% by 2045,Investor-owned utility,None,,Hawaii Rev. Stat. §269-91 et seq.; House Bill 623 (2015)
ID,Idaho,1,16,None,,,,,,,,,
IL,Illinois,4,17,Required,Renewable Portfolio Standard,2001 (voluntary target); 2007 (standard),25%,2025,25% by 2025-2026,"Investor-owned utility, retail supplier",Approximately 1%,"Distributed Generation: 1% of annual requirement beginning in 2015 for IOUs. Wind: 75% of annual requirement for IOUs, 60% of annual requirement for alternative retail electric suppliers. Photovoltaics: 6% of annual requirement beginning in 2015-2016.",Ill. Rev. Stat. ch. 20 §688 (2001); Ill. Rev. Stat. ch. 20 §3855/1-75 (2007); Senate Bill 2814 (2016)
IN,Indiana,3,18,Voluntary,Clean Energy Portfolio Goal,2011,10%,2025,10% by 2025,"Investor-owned utility, municipal utilities, cooperative utilities, retail supplier",None,"30% of the goal may be met with clean coal technology, nuclear energy, combined heat and power systems, natural gas that displaces electricity from coal and other alternative fuels.",Ind. Code §8-1-37.
IA,Iowa,2,19,Expired,Alternative Energy Law,1983,,,105 MW of generating capacity for IOUs.,Investor-owned utility,None,,Iowa Code §476.41 et seq.
KS,Kansas,2,20,Expired,Renewable Energy Goal,2009 (standard); 2015 (goal),20%,2020,15% by 2015-2019; 20% by 2020,Investor-owned utility,Caps gross RPS procurement costs,20% requirement for peak demand capacity,Kan Stat. Ann. §66-1256 et seq.; Goal: Senate Bill 91
KY,Kentucky,1,21,None,,,,,,,,,
LA,Louisiana,1,22,None,,,,,,,,,
ME,Maine,4,23,Required,Renewables Portfolio Standard,1999,80%,2030,80% by 2030; statewide target of 100% renewables by 2050,"Investor-owned utility, retail supplier",Approximately 15%,"Maine updated its RPS requirements in 2019 to include an additional 40% requirement for certain renewable sources (Class IA) in addition to a 10% requirement by 2022 and each year thereafter for Class I (new) sources and 30% requirement for Class II resources. The state also has separate goals for wind energy: 2,000 MW of installed capacity by 2015; 3,000 MW of installed capacity by 2020, including offshore and coastal; and 8,000 MW of installed capacity by 2030, including 5,000 MW from offshore and coastal. The state has a credit multiplier for community-based renewable energy.",Me. Rev. Stat. Ann. 35-A §3210 et seq.; Me. Rev. Stat. Ann. 35-A §3401 et seq. (wind energy); Senate File 457 (2019)
MD,Maryland,4,24,Required,Renewable Energy Portfolio Standard,2004,50%,2030,30.5% in 2020; 50% in 2030,"Investor-owned utility, local government, retail supplier",Approximately 7%,"In 2019, Maryland enacted legislation increasing its near-term RPS targets and carveouts for solar and offshore wind. It also extended its RPS targets out to 2030. The bill increased the solar carveout from 2.5% to 6% in 2020, with an increasing annual percentage carveout up to 14.5% in 2030. It also increased offshore wind from a 2.5% maximum in 2017 to a 10% maximum in 2025, including an increasing megawatt requirement for Round 2 offshore wind projects in later compliance years.",Md. Public Utilities Code Ann. §7-701 et seq.; Senate Bill 516 (2019)
MA,Massachusetts,4,25,Required,Renewable Portfolio Standard,1997,35%,2030,Class I: 35% by 2030 and an additional 1% each year after. Class II: 6.7% by 2020,"Investor-owned utility, retail supplier",Approximately 16%,"Photovoltaic: 1,600 MW required by 2020. Class I resources are new sources. Class II (resources in operation by 1997) requirement includes 2.69% renewable energy and 3.5% waste-to-energy.",Mass. Gen. Laws Ann. ch. 25A §11F; House Bill 4857 (2018)
MI,Michigan,4,26,Required,Renewable Energy Standard,2008; 2016,35%,2025,"15% by 2021 (standard), 35% by 2025 (goal, including energy efficiency and demand reduction)","Investor-owned utility, municipal utilities, cooperative utilities, retail supplier",Approximately 2.5%,The state has several credit multipliers for different technologies.,Mich. Comp. Laws §460.1001 et seq.; Senate Bill 438 (2016)
MN,Minnesota,4,27,Required,Renewables Energy Standard,2007,26.50%,2025,"26.5% by 2025 (IOUs), 25% by 2025 (other utilities)","Investor-owned utility, municipal utilities, cooperative utilities",None,Xcel Energy has a separate requirement of 31.5% by 2020; 25% must be from wind or solar. Solar: 1.5% by 2020 (other IOUs); Statewide goal of 10% by 2030.,Minn. Stat. §216B.1691
MS,Mississippi,1,28,None,,,,,,,,,
MO,Missouri,4,29,Required,Renewable Electricity Standard,2007,15%,2021,15% by 2021 (IOUs),Investor-owned utility,Approximately 1%,Solar-Electric: 2% carve-out.,Mo. Rev. Stat. §393.1020 et seq.
MT,Montana,2,30,Expired,Renewable Resource Standard,2005,15%,2015,15% by 2015,"Investor-owned utility, retail supplier",Approximately 0.1%,,Mont. Code Ann. §69-3-2001 et seq.
NE,Nebraska,1,31,None,,,,,,,,,
