MSN,BDFDB,BFFDB,CLPRB,NCPRB,NGMPB,PAPRB,WDPRB,T_Renewables,T_FossilFuels
1960,0,0,10590206,1608334,14131456,14934611,1318363,2926697,39656273
1961,0,0,10239471,1657465,14656001,15206196,1293423,2950888,40101668
1962,0,0,10670680,1817202,15331612,15521896,1298892,3116094,41524188
1963,0,0,11605467,1773115,16279199,15965793,1321975,3095090,43850459
1964,0,0,12273824,1888446,17158524,16163568,1335253,3223699,45595916
1965,0,0,12831858,2061055,17696418,16521381,1331951,3393006,47049657
1966,0,0,13281168,2063477,18964218,17561025,1365508,3428985,49806411
1967,0,0,13697146,2349963,20006009,18651304,1336956,3686919,52354459
1968,0,0,13486770,2353161,21255132,19308444,1415594,3768755,54050346
1969,0,0,13832984,2654404,22733774,19556156,1437146,4091550,56122914
1970,0,0,14877023,2639059,24048482,20401210,1427222,4066281,59326715
1971,0,0,13517653,2829890,24697321,20032701,1429062,4258952,58247675
1972,0,0,14391826,2878944,24769090,20041134,1499634,4378578,59202050
1973,0,0,14006108,2881870,24823737,19493237,1525657,4407527,58323082
1974,0,0,14025005,3202190,23674624,18574993,1537044,4739234,56274622
1975,0,0,14981863,3188386,22052635,17729318,1496744,4685130,54763816
1976,0,0,15689495,3013778,21854362,17261844,1710609,4724387,54805701
1977,0,0,15759938,2370634,21952589,17453737,1833314,4203948,55166264
1978,0,0,14979104,2967834,21855826,18433653,2034106,5001940,55268583
1979,0,0,17617675,2970948,22404715,18103598,2146749,5117697,58125988
1980,0,0,18629602,2952843,22219085,18248917,2467192,5420035,59097604
1981,0,12720,18523580,2817406,22025327,18146019,2496464,5326590,58694926
1982,0,34405,18826604,3316185,20526683,18308947,2511340,5861930,57662234
1983,0,63144,17364161,3591198,18737728,18391794,2684271,6338613,54493683
1984,0,77301,19914476,3466744,20309610,18848237,2686301,6230346,59072323
1985,0,93149,19514305,3067784,19251851,18992407,2686765,5847698,57758563
1986,0,107100,19676150,3179046,18756329,18375862,2562134,5848280,56808341
1987,0,122725,20295490,2746923,19455056,17674792,2465851,5335499,57425338
1988,0,124059,20949127,2440706,19975659,17278931,2576663,5141428,58203717
1989,0,125377,21517324,3075309,20066784,16116872,2679621,5880307,57700980
1990,0,110868,22761184,3304912,20622818,15571138,2218037,5633817,58955140
1991,0,127999,21869054,3285988,20615355,15700849,2214083,5628070,58185258
1992,0,145006,21897732,2888878,20832091,15222860,2313469,5347353,57952683
1993,0,169336,20358442,3173363,21008415,14494455,2257601,5600300,55861312
1994,0,188391,22345526,2959621,21765249,14102601,2323819,5471831,58213376
1995,0,197737,22178769,3458226,21589084,13886754,2369868,6025831,57654607
1996,0,141284,22839407,3855588,21957585,13722922,2437027,6433899,58519914
1997,0,186315,23412530,3908802,22299946,13658026,2368610,6463727,59370502
1998,0,202474,23917422,3563836,22155561,13235142,2184163,5950473,59308125
1999,0,210809,23177242,3551420,21842245,12451011,2214167,5976396,57470498
2000,0,233146,22595116,3096041,22320269,12358176,2261714,5590901,57273561
2001,1109,254453,23587925,2537610,22584794,12281622,2010194,4803366,58454341
2002,1356,308118,22729814,3025495,21894284,12160205,1995282,5330251,56784303
2003,1838,401394,22054837,3137689,21943403,11959565,2002040,5542961,55957805
2004,3620,485722,22821746,3066654,21549505,11550085,2121252,5677248,55921336
2005,11744,561270,23183084,3119626,20900370,10974163,2135154,5827794,55057617
2006,32396,715635,23643934,3374729,21381434,10766766,2099320,6222080,55792134
2007,63362,970070,23337321,3038286,22182362,10741443,2088775,6160493,56261126
2008,87718,1374001,23706398,3323297,23102917,10613292,2058985,6844001,57422607
2009,66723,1569920,21689785,3668315,23689477,11340125,1934990,7239948,56719387
2010,44427,1867880,21831301,3761229,24592827,11610469,2216740,7890276,58034597
2011,125151,2029308,22057248,4595228,26409448,11997526,2213219,8962906,60464222
2012,128156,1928887,20585319,4339314,27872427,13841891,2151214,8547571,62299637
2013,175855,1980940,19901802,4602271,28421429,15865059,2338256,9097322,64188290
2014,165445,2103411,20170837,4746029,30872950,18607148,2401077,9415962,69650935
2015,163423,2161440,17931020,4737053,32717205,19712056,2311769,9373685,70360281
2016,202797,2274948,14538027,5347859,32428188,18537306,2299053,10124657,65503521
2017,206416,2344298,15549225,6097016,33468883,19575773,2263203,10910933,68593881
2018,240257,2396573,15280478,6269473,37762229,22834813,2355547,11261850,75877520
2019,223077,2327517,14290746,6416745,41734776,25473057,2339831,11307170,81498579
